Diseño;Tarjeta;c_A1;tv_A1;c_A2;tv_A2;Bloque
1;1;1000;60;2000;50;2
1;2;1000;60;2000;45;1
1;3;1000;60;2000;40;2
1;4;1000;60;2500;50;2
1;5;1000;60;2500;45;1
1;6;1000;60;2500;40;0
1;7;1000;60;3000;50;1
1;8;1000;60;3000;45;1
1;9;1000;60;3000;40;2
